0	ahmedkalka97
0	CrowNaito
0	hdo003
0	katjakra
0	unknown_6
0	witch_doctor81
1	amaranaas
1	DwiDwisyafitri
1	Milbala
1	WolframElvis
2	DrAinenwar
2	johnaberlin
2	JS_Smith_71
2	KyleFJackson
2	lisapizzapie
2	lnsails
2	seahorseadmirer
3	DanMilanko
3	meterz1
3	Naima3704
3	ratt_6
4	__jeremi
4	Shaaban_Migo
5	awptix
5	chglass
5	ELittley
5	goodenjm
5	karensnet
5	PoorOldMoot
6	involutish
6	JoeLemanski
6	JStoddert
6	mgome0072
7	IngeRudomino
7	majetisiri
7	MildlyBored
8	CorrenMcCoy
8	manoj_chandra_k
8	SimpleSimon2013
9	AliShamim333
9	crobinj7074
9	FjellHenning
9	SterlingWill4
10	dhombe3
10	gjfowler
10	History2point0
10	nichworby
11	brijmohanrana4
11	Julibabe21
12	beatles__beatle
12	BizApproved
12	toinette1607
13	elizhoagcarhart
13	Faryane
13	momof3inov
13	NgYewli
14	LulwahMA
14	oso525gang
14	WeskerAlbert777
14	zeonfernando
15	kaylamarie0110
15	landeart
15	PapachriL
15	sspranay
17	BrosephElder
17	thefaisalahmad
18	Thaer_samar
19	plamen26968325
21	acnwala
21	LizCohee
22	PeterOnymos
23	JohnChangGWU
23	usa8951
25	clem_kev
25	vneblitt
26	MPanula
26	northgardner
27	joansm1th
28	Alisia1092
28	fzaker
28	masroorfreaks
28	wospworkshop
30	hariharshankar
30	pre11e
32	rwincewicz
32	syamiliC
33	OpenMaze
34	KarolHolu
34	SalimChemlal
37	thabing
37	wosp2015
38	LarryWilson1942
40	DLWeb_Seb
40	narfman0
40	NeilMonday
41	cklk90
42	RajnishMallick
45	NetLab_dk
45	zxie
48	ArchivingIt
49	CamtheWicked
50	erikaris
50	joc7188
51	meblake
51	xuxomln
52	ehetzner
52	gauravguptak1
52	GrahamSeaman
52	KevinClemmons
52	LyndaLSF
53	9ulovesu
55	maturban1
55	mlzman
57	gmj2053
57	mdiazdigpres
57	ziadmatni
60	BeachAutoBroker
60	karenhansn
61	Ghozia
61	n_audenaert
66	jcdl2015
67	SarahBellefleur
68	plbogen
69	chrislaoscott
69	sorgentelinda
70	jcdl2012
74	kennethec1
76	skhartmann
77	jcdl2016
78	ChuChoResano
80	WessamElhefnawy
81	AAlasaadi
81	furuta
82	TPDL2016
83	AricAumann
83	badgerhartman
83	lwynholds
85	WOSP2014
87	annediaz01
87	JonathanBrendle
87	WehoMan88
88	westfood
89	GJST
92	klhiggins33
92	mgallinger
92	zimeon
93	clarellewellyn
93	TeriBerg96
97	renevoorburg
98	DLib2014
101	JCDLConf
101	knmnyn
102	schuurmanna
105	ijdl
107	johanna_lautner
108	oducs
110	shawnmjones
111	davidrapin
111	pigandpublish
111	TimelessFuture
115	DrDanetteAllen
117	doppelen
117	Galsondor
117	GerhardGossen
121	kylewilliams87
121	migcosta
127	WSUNDSA
130	keesone
130	Mercedesew211
131	carltonnorthern
131	digiarchiveteam
131	maikhanhlam
133	downey_cara
137	kingswebit
137	metalinker
139	unmil
140	umurthy
142	Milena_Dobreva
145	samy_tawab
145	WebART12
147	iPRESconf
148	noradreamer90
149	_matef
150	AllThingsGraph
150	covenant_ws
150	itroch
152	icdm2016
153	EdelOShea83
156	NorfolkVA_
157	OTHSEAFOOD
158	rosalielack
159	GerdaMueller2
159	weiglemc
160	jakkbl
160	jotschirr
162	felipebravom
162	mummifyit
162	squealermusic
163	athurman
163	documentnow
163	Sandra_Mason
167	ldmm
168	petrknoth
168	Stephanie13211
170	ptrourke
170	Reloaded2Boot
173	ODUAuxServices
177	this_phillips
178	hanysalaheldeen
183	iPRES2013
183	maherzog
184	WebSciDL
188	SIGIR17
192	kristsi
196	tamingdata
197	RaifordGuins
200	justinfbrunelle
203	aheshamSalem
208	rodwittenberg
209	impactzoneco
209	vector_ctrl
210	myerscarpenter
210	nanopub_org
210	ReedTechCorp
212	DialUCL
212	shajid333
212	technelily
216	Educopia
216	tedlawless
217	diglib
218	bhaslhofer
221	jessili
224	NancyAjarmeh
226	AutonomyIncub8r
227	TagTrees
228	ForgetITProject
231	J_IreneTieman
231	saraaubry
231	TaksNz
234	anatbd
234	tpdl2013
240	machawk1
241	AlephArchives
247	iamtimmo
252	abrennr
253	knbrennan
258	ohttic
260	GeorgeRBuchanan
270	K4arkive
273	Pravacana_Mats
274	yasmina_anwar
279	SoftGid_com
